subset_size,label,precision,recall,f1-score,support
6000,macro avg,0.5903857225100748,0.521190906353508,0.5536117495422953,1038
6000,weighted avg,0.8534713694796356,0.7475915221579962,0.7970069526324486,1038
7600,CHAR,0.8449931412894376,0.751219512195122,0.7953518398967075,820
7600,LOC,0.8879310344827587,0.9537037037037037,0.9196428571428572,216
7600,ORG,0.0,0.0,0.0,2
7600,micro avg,0.8553590010405827,0.791907514450867,0.8224112056028015,1038
7600,macro avg,0.5776413919240654,0.5683077386329419,0.5716648990131882,1038
7600,weighted avg,0.8523000764023263,0.791907514450867,0.8196833967804984,1038
8200,CHAR,0.8207792207792208,0.7707317073170732,0.7949685534591195,820
8200,LOC,0.9223744292237442,0.9351851851851852,0.928735632183908,216
8200,ORG,0.0,0.0,0.0,2
8200,micro avg,0.8432760364004045,0.8034682080924855,0.8228909718796251,1038
8200,macro avg,0.581051216667655,0.5686389641674195,0.5745680618810092,1038
8200,weighted avg,0.8403389573711849,0.8034682080924855,0.8212727460387305,1038
10000,CHAR,0.8526603001364257,0.7621951219512195,0.8048937540244688,820
10000,LOC,0.9646464646464646,0.8842592592592593,0.9227053140096618,216
10000,ORG,1.0,0.5,0.6666666666666666,2
10000,micro avg,0.8766094420600858,0.7870905587668593,0.8294416243654822,1038
10000,macro avg,0.9391022549276301,0.7154847937368262,0.7980885782335991,1038
10000,weighted avg,0.8762476709783289,0.7870905587668593,0.8291431208665557,1038
11000,CHAR,0.8468834688346883,0.7621951219512195,0.8023106546854941,820
11000,LOC,0.9357798165137615,0.9444444444444444,0.9400921658986177,216
11000,ORG,1.0,0.5,0.6666666666666666,2
11000,micro avg,0.8672936259143156,0.7996146435452793,0.8320802005012531,1038
11000,macro avg,0.9275544284494833,0.7355465221318879,0.8030231624169262,1038
11000,weighted avg,0.8656771529975116,0.7996146435452793,0.8307205953849133,1038
12000,CHAR,0.8503401360544217,0.7621951219512195,0.8038585209003215,820
12000,LOC,0.9428571428571428,0.9166666666666666,0.9295774647887323,216
12000,ORG,1.0,1.0,1.0,2
12000,micro avg,0.8711721224920802,0.7947976878612717,0.8312342569269522,1038
12000,macro avg,0.9310657596371882,0.8929539295392953,0.911145328563018,1038
12000,weighted avg,0.8698805919284861,0.7947976878612717,0.8303976103397205,1038
13000,CHAR,0.8725490196078431,0.7597560975609756,0.8122555410691005,820
13000,LOC,0.9026548672566371,0.9444444444444444,0.9230769230769231,216
13000,ORG,1.0,0.5,0.6666666666666666,2
13000,micro avg,0.8799149840595112,0.7976878612716763,0.8367862556846892,1038
13000,macro avg,0.9250679622881601,0.7347335140018068,0.8006663769375634,1038
13000,weighted avg,0.8790593905644172,0.7976878612716763,0.8350361198406658,1038
15000,CHAR,0.8490566037735849,0.823170731707317,0.8359133126934984,820
15000,LOC,0.9720930232558139,0.9675925925925926,0.9698375870069605,216
15000,ORG,1.0,0.5,0.6666666666666666,2
15000,micro avg,0.8753709198813057,0.8526011560693642,0.8638360175695462,1038
15000,macro avg,0.9403832090097995,0.7635877747666365,0.8241391887890419,1038
15000,weighted avg,0.8749503931768743,0.8526011560693642,0.8634558463733195,1038
17000,CHAR,0.8534583821805393,0.8878048780487805,0.8702928870292886,820
17000,LOC,0.9292035398230089,0.9722222222222222,0.9502262443438914,216
17000,ORG,0.0,0.0,0.0,2
17000,micro avg,0.8693234476367007,0.9036608863198459,0.8861596598960794,1038
17000,macro avg,0.5942206406678494,0.6200090334236675,0.6068397104577267,1038
17000,weighted avg,0.8675759518206283,0.9036608863198459,0.8852495531236003,1038
19000,CHAR,0.8695652173913043,0.8780487804878049,0.8737864077669902,820
19000,LOC,0.9327354260089686,0.9629629629629629,0.9476082004555809,216
19000,ORG,1.0,0.5,0.6666666666666666,2
19000,micro avg,0.8830798479087453,0.894990366088632,0.8889952153110048,1038
19000,macro avg,0.9341002144667576,0.7803372478169225,0.8293537582964126,1038
19000,weighted avg,0.882961782542203,0.894990366088632,0.8887490934495866,1038
20069,CHAR,0.8612099644128114,0.8853658536585366,0.873120865904991,820
20069,LOC,0.9090909090909091,0.9722222222222222,0.9395973154362416,216
20069,ORG,1.0,0.5,0.6666666666666666,2
20069,micro avg,0.8716279069767442,0.9026974951830443,0.8868906767628963,1038
20069,macro avg,0.9234336245012402,0.7858626919602529,0.826461616002633,1038
20069,weighted avg,0.8714410473816394,0.9026974951830443,0.8865563232270272,1038
